,Year,Smoke everyday,Smoke some days,Former smoker,Never smoked
0,1995,20.01372549019608,2.6647058823529415,25.227450980392156,52.076470588235296
1,1996,19.63396226415094,4.137735849056604,23.858490566037737,52.366037735849055
2,1997,18.955555555555556,4.272222222222222,23.77592592592593,52.98148148148148
3,1998,18.492592592592594,4.568518518518518,24.074074074074073,52.84444444444444
4,1999,18.06111111111111,4.796296296296297,23.70925925925926,53.39259259259259
5,2000,17.56111111111111,5.068518518518518,24.42962962962963,52.925925925925924
6,2001,17.405357142857145,5.580357142857143,24.31607142857143,52.67142857142857
7,2002,18.0375,4.982142857142857,24.273214285714285,52.68571428571429
8,2003,17.17142857142857,5.130357142857143,24.62857142857143,53.03928571428571
9,2004,15.648148148148149,5.475925925925925,23.34444444444444,55.548148148148144
10,2005,15.22909090909091,5.374545454545455,24.507272727272728,54.86727272727273
11,2006,14.790909090909091,5.143636363636364,24.494545454545456,55.52363636363636
12,2007,14.742857142857144,5.128571428571428,24.258928571428573,55.830357142857146
13,2008,13.771428571428572,4.955357142857143,24.696428571428573,56.544642857142854
14,2009,13.146428571428572,5.083928571428571,24.826785714285712,56.887499999999996
15,2010,12.857142857142858,4.851785714285714,24.710714285714285,57.541071428571435
